Afternoon,Exercise,55,5
Morning,Relaxation,54,3
Afternoon,Relaxation,23,3
Morning,Relaxation,38,4
Night,Relaxation,63,3
Afternoon,Relaxation,125,2
Night,Exercise,102,2
Morning,Exercise,105,4
Evening,Relaxation,137,2
Morning,Relaxation,111,2
Evening,Exercise,177,4
Evening,Relaxation,104,5
Evening,Exercise,137,5
Evening,Exercise,113,4
Afternoon,Exercise,69,3
Morning,Exercise,52,3
Evening,Relaxation,94,4
Evening,Relaxation,100,3
Night,Exercise,56,3
Morning,Relaxation,163,5
Evening,Exercise,93,2
Night,Exercise,80,4
Night,Relaxation,129,3
Night,Relaxation,177,5
Afternoon,Exercise,126,3
Morning,Exercise,178,4
Evening,Relaxation,28,3
Night,Exercise,90,3
Afternoon,Exercise,94,3
Evening,Exercise,67,5
Afternoon,Relaxation,165,5
Night,Exercise,108,1
Night,Relaxation,171,4
Evening,Exercise,72,4
Night,Relaxation,69,1
Night,Relaxation,70,3
Night,Exercise,91,3
Morning,Relaxation,75,4
Morning,Exercise,51,3
Afternoon,Relaxation,96,3
Morning,Exercise,70,3
Night,Relaxation,160,5
Evening,Exercise,82,2
Afternoon,Exercise,64,3
Evening,Exercise,35,4
Evening,Exercise,59,2
Morning,Exercise,112,5
Morning,Exercise,131,2
Afternoon,Relaxation,68,3
Morning,Exercise,117,4
Evening,Relaxation,64,4
Evening,Relaxation,64,5
Night,Relaxation,76,1
Night,Exercise,133,4
Night,Relaxation,43,3
Evening,Relaxation,83,2
Night,Exercise,106,5
Afternoon,Exercise,73,2
Morning,Exercise,58,3
Night,Relaxation,135,5
Night,Exercise,81,4
Night,Relaxation,69,1
Afternoon,Relaxation,31,4
Night,Relaxation,146,5
Morning,Exercise,88,5
Morning,Exercise,86,1
Afternoon,Exercise,80,5
Evening,Exercise,96,5
Morning,Exercise,120,2
Evening,Relaxation,128,3
Evening,Relaxation,145,1
Evening,Exercise,37,5
Afternoon,Exercise,54,3
Night,Exercise,57,4
Morning,Relaxation,176,2
Afternoon,Exercise,71,3
Night,Relaxation,64,2
Afternoon,Relaxation,45,3
Morning,Relaxation,96,1
Evening,Relaxation,15,2
Afternoon,Exercise,111,1
Evening,Relaxation,55,4
Morning,Exercise,22,3
Night,Exercise,132,1
Evening,Relaxation,70,1
Morning,Relaxation,48,3
Afternoon,Exercise,84,2
Evening,Relaxation,110,5
Afternoon,Relaxation,99,2
Evening,Relaxation,128,4
Afternoon,Relaxation,68,3
Night,Relaxation,46,2
Evening,Exercise,79,3
Morning,Exercise,43,4
Morning,Relaxation,44,3
Afternoon,Exercise,148,2
Afternoon,Exercise,31,3
Morning,Relaxation,57,1
Morning,Exercise,85,4
Night,Exercise,49,3
Morning,Relaxation,114,4
Night,Exercise,107,4
Afternoon,Relaxation,133,3
Night,Relaxation,39,2
Morning,Relaxation,21,3
Night,Relaxation,62,3
Morning,Exercise,44,4
Night,Relaxation,79,4
Morning,Relaxation,115,2
Evening,Relaxation,104,1
Evening,Exercise,155,2
Afternoon,Exercise,90,3
Morning,Exercise,66,5
Morning,Relaxation,109,3
Afternoon,Exercise,45,3
Morning,Relaxation,33,4
Morning,Exercise,44,3
Night,Exercise,113,4
Afternoon,Exercise,77,2
Night,Relaxation,55,4
Morning,Exercise,155,5
Evening,Exercise,88,3
Evening,Relaxation,33,3
Afternoon,Exercise,74,3
Afternoon,Relaxation,57,3
Evening,Relaxation,73,5
Night,Exercise,29,4
Morning,Exercise,44,4
Afternoon,Exercise,88,2
Afternoon,Relaxation,67,3
Night,Exercise,86,3
Afternoon,Relaxation,61,1
Night,Exercise,140,5
Night,Relaxation,135,5
Afternoon,Relaxation,139,5
Afternoon,Exercise,117,5
Afternoon,Relaxation,23,2
Night,Relaxation,116,2
Morning,Relaxation,69,4
Afternoon,Relaxation,66,3
Evening,Relaxation,106,4
Morning,Exercise,112,2
Morning,Exercise,70,3
Night,Relaxation,114,2
Afternoon,Relaxation,123,5
Afternoon,Relaxation,44,3
Afternoon,Exercise,91,5
Night,Relaxation,83,3
Afternoon,Relaxation,30,3
Afternoon,Relaxation,132,4
Evening,Relaxation,129,3
Night,Exercise,121,4
Morning,Exercise,50,4
Evening,Relaxation,75,4
Night,Relaxation,42,3
Morning,Exercise,50,4
Evening,Exercise,154,5
Night,Relaxation,96,5
Night,Exercise,104,1
Evening,Relaxation,28,2
Night,Relaxation,113,5
Afternoon,Relaxation,46,2
Morning,Exercise,53,2
Evening,Exercise,43,3
Evening,Relaxation,51,5
Afternoon,Relaxation,61,4
Night,Relaxation,121,3
Afternoon,Exercise,106,2
Night,Exercise,89,4
Afternoon,Exercise,71,4
Afternoon,Relaxation,92,4
Night,Relaxation,133,3
Evening,Exercise,79,5
Afternoon,Relaxation,49,3
Evening,Relaxation,118,3
Night,Relaxation,61,2
Night,Exercise,31,5
Night,Relaxation,135,1
Afternoon,Relaxation,89,2
Night,Exercise,145,1
Evening,Relaxation,89,3
Evening,Relaxation,54,1
Evening,Relaxation,139,4
Morning,Exercise,79,2
Afternoon,Relaxation,115,4
Night,Relaxation,115,3
Morning,Exercise,105,5
Afternoon,Relaxation,135,4
Morning,Relaxation,174,4
Night,Exercise,119,5
Night,Relaxation,78,3
Evening,Relaxation,146,5
Night,Exercise,58,2
Evening,Exercise,86,3
Afternoon,Exercise,94,5
Evening,Relaxation,22,5
Morning,Exercise,113,1
Evening,Exercise,174,3
Evening,Exercise,28,3
Evening,Relaxation,97,2
Evening,Relaxation,117,5
Afternoon,Exercise,171,4
Evening,Exercise,114,2
Morning,Exercise,59,3
Morning,Exercise,63,3
Morning,Exercise,133,3
Night,Relaxation,42,3
Evening,Exercise,46,1
Afternoon,Exercise,61,3
Afternoon,Relaxation,119,3
Morning,Exercise,117,4
Morning,Exercise,98,5
Afternoon,Relaxation,65,1
Night,Relaxation,47,5
Night,Exercise,30,4
Evening,Relaxation,47,2
Afternoon,Exercise,127,4
Afternoon,Exercise,82,2
Night,Relaxation,67,2
Night,Relaxation,60,1
Afternoon,Exercise,107,1
Evening,Relaxation,27,2
Evening,Exercise,57,3
Night,Exercise,112,2
Morning,Exercise,73,2
Afternoon,Relaxation,70,4
Afternoon,Relaxation,130,2
Afternoon,Relaxation,50,2
Morning,Relaxation,99,1
Night,Exercise,96,4
Afternoon,Relaxation,49,1
Morning,Relaxation,92,4
Night,Exercise,134,3
Evening,Exercise,135,1
Evening,Relaxation,44,2
Evening,Relaxation,56,1
Night,Relaxation,94,3
Afternoon,Relaxation,53,3
Night,Relaxation,86,3
Evening,Exercise,99,4
Night,Relaxation,79,4
