Afternoon,Exercise,55,7,8
Morning,Relaxation,54,3,3
Afternoon,Relaxation,23,4,4
Morning,Relaxation,38,6,7
Night,Relaxation,63,6,6
Afternoon,Relaxation,125,7,6
Night,Exercise,102,7,6
Morning,Exercise,105,5,6
Evening,Relaxation,137,6,5
Morning,Relaxation,111,8,7
Evening,Exercise,177,6,7
Evening,Relaxation,104,8,9
Evening,Exercise,137,7,9
Evening,Exercise,113,4,5
Afternoon,Exercise,69,8,8
Morning,Exercise,52,5,5
Evening,Relaxation,94,4,6
Evening,Relaxation,100,3,3
Night,Exercise,56,3,3
Morning,Relaxation,163,5,8
Evening,Exercise,93,7,6
Night,Exercise,80,5,6
Night,Relaxation,129,6,6
Night,Relaxation,177,7,9
Afternoon,Exercise,126,3,3
Morning,Exercise,178,5,6
Evening,Relaxation,28,6,6
Night,Exercise,90,8,8
Afternoon,Exercise,94,8,8
Evening,Exercise,67,8,9
Afternoon,Relaxation,165,3,6
Night,Exercise,108,3,2
Night,Relaxation,171,4,6
Evening,Exercise,72,5,6
Night,Relaxation,69,3,2
Night,Relaxation,70,5,5
Night,Exercise,91,5,5
Morning,Relaxation,75,5,6
Morning,Exercise,51,8,8
Afternoon,Relaxation,96,8,8
Morning,Exercise,70,7,7
Night,Relaxation,160,8,10
Evening,Exercise,82,5,4
Afternoon,Exercise,64,5,5
Evening,Exercise,35,5,6
Evening,Exercise,59,6,5
Morning,Exercise,112,7,9
Morning,Exercise,131,6,5
Afternoon,Relaxation,68,6,6
Morning,Exercise,117,5,7
Evening,Relaxation,64,4,5
Evening,Relaxation,64,7,8
Night,Relaxation,76,4,3
Night,Exercise,133,6,7
Night,Relaxation,43,6,6
Evening,Relaxation,83,7,6
Night,Exercise,106,7,8
Afternoon,Exercise,73,5,4
Morning,Exercise,58,8,8
Night,Relaxation,135,3,6
Night,Exercise,81,5,6
Night,Relaxation,69,4,3
Afternoon,Relaxation,31,6,7
Night,Relaxation,146,8,10
Morning,Exercise,88,8,9
Morning,Exercise,86,3,2
Afternoon,Exercise,80,8,9
Evening,Exercise,96,8,10
Morning,Exercise,120,7,6
Evening,Relaxation,128,7,7
Evening,Relaxation,145,4,3
Evening,Exercise,37,7,8
Afternoon,Exercise,54,7,7
Night,Exercise,57,6,7
Morning,Relaxation,176,6,5
Afternoon,Exercise,71,3,3
Night,Relaxation,64,7,6
Afternoon,Relaxation,45,4,4
Morning,Relaxation,96,4,3
Evening,Relaxation,15,6,5
Afternoon,Exercise,111,3,2
Evening,Relaxation,55,5,6
